timestamp,latitude degree,longitude degree,velocity in m/s
2023/11/20 16:46:31,-7.62936448,110.30785158,12.800000190734863
2023/11/20 16:46:32,-7.62943174,110.30774139,13.010000228881836
2023/11/20 16:46:33,-7.62950144,110.30767466,12.430000305175781
2023/11/20 16:46:34,-7.62957013,110.30759694,12.649999618530273
2023/11/20 16:46:35,-7.62964602,110.30751403,12.720000267028809
2023/11/20 16:46:36,-7.62973228,110.30743327,12.600000381469727
2023/11/20 16:46:37,-7.62981062,110.30733615,13.640000343322754
2023/11/20 16:46:38,-7.62988134,110.30723935,13.529999732971191
2023/11/20 16:46:39,-7.62996675,110.30714583,13.430000305175781
2023/11/20 16:46:40,-7.63003319,110.30704232,13.260000228881836
2023/11/20 16:46:41,-7.63009219,110.30695123,12.710000038146973
2023/11/20 16:46:42,-7.63015741,110.3068544,12.760000228881836
2023/11/20 16:46:43,-7.63022005,110.30675355,12.859999656677246
2023/11/20 16:46:44,-7.63032561,110.30668272,12.65999984741211
2023/11/20 16:46:45,-7.63039195,110.30657909,12.739999771118164
2023/11/20 16:46:46,-7.63044662,110.30645351,13.050000190734863
2023/11/20 16:46:47,-7.63051143,110.30632414,13.300000190734863
2023/11/20 16:46:48,-7.63058323,110.30623042,13.15999984741211
2023/11/20 16:46:49,-7.6306664,110.30611703,13.140000343322754
2023/11/20 16:46:50,-7.63073972,110.30604014,12.569999694824219
2023/11/20 16:46:51,-7.63081244,110.30594911,12.020000457763672
2023/11/20 16:46:52,-7.63087542,110.30587545,11.420000076293945
2023/11/20 16:46:53,-7.6309407,110.30579533,11.15999984741211
2023/11/20 16:46:54,-7.63100413,110.30573118,10.569999694824219
2023/11/20 16:46:55,-7.63103856,110.30564374,9.789999961853027
2023/11/20 16:46:56,-7.63108227,110.3055684,10.149999618530273
2023/11/20 16:46:57,-7.63114339,110.30552003,8.600000381469727
2023/11/20 16:46:58,-7.63119081,110.30548652,6.809999942779541
2023/11/20 16:46:59,-7.63121819,110.30544075,5.659999847412109
2023/11/20 16:47:00,-7.63125042,110.30539907,5.610000133514404
2023/11/20 16:47:01,-7.63126354,110.30536081,4.909999847412109
2023/11/20 16:47:02,-7.63123707,110.30533686,2.759999990463257
2023/11/20 16:47:03,-7.63121815,110.3053208,3.069999933242798
2023/11/20 16:47:04,-7.63118547,110.30531251,3.5999999046325684
2023/11/20 16:47:05,-7.63116071,110.30529681,3.4100000858306885
2023/11/20 16:47:06,-7.63113469,110.30528419,3.25
2023/11/20 16:47:07,-7.63110329,110.305269,3.690000057220459
2023/11/20 16:47:08,-7.6310665,110.30525028,4.679999828338623
2023/11/20 16:47:09,-7.63100342,110.30520537,5.809999942779541
2023/11/20 16:47:10,-7.63094604,110.30517113,6.559999942779541
2023/11/20 16:47:11,-7.63090189,110.3051388,6.570000171661377
2023/11/20 16:47:12,-7.63085996,110.30510113,6.429999828338623
2023/11/20 16:47:13,-7.63082346,110.30506531,6.510000228881836
2023/11/20 16:47:14,-7.63079317,110.30503953,5.480000019073486
2023/11/20 16:47:15,-7.63075903,110.30501801,5.139999866485596
2023/11/20 16:47:16,-7.6307461,110.30497604,4.429999828338623
2023/11/20 16:47:17,-7.63072576,110.30486132,3.0199999809265137
2023/11/20 16:47:18,-7.63072105,110.30476373,2.319999933242798
2023/11/20 16:47:19,-7.63071846,110.30472384,2.4600000381469727
2023/11/20 16:47:20,-7.63070633,110.30468317,3.9600000381469727
2023/11/20 16:47:21,-7.63068921,110.30465832,3.6600000858306885
2023/11/20 16:47:22,-7.63066806,110.30462783,4.210000038146973
2023/11/20 16:47:23,-7.63064372,110.30458242,4.710000038146973
2023/11/20 16:47:24,-7.63061595,110.30454439,4.909999847412109
2023/11/20 16:47:25,-7.6305644,110.30451103,5.579999923706055
2023/11/20 16:47:26,-7.63053267,110.30447024,5.340000152587891
2023/11/20 16:47:27,-7.63049219,110.30443111,5.269999980926514
2023/11/20 16:47:28,-7.63047656,110.3043751,4.519999980926514
2023/11/20 16:47:29,-7.63044291,110.30433035,3.559999942779541
2023/11/20 16:47:30,-7.63043863,110.3043056,2.9000000953674316
2023/11/20 16:47:31,-7.63043767,110.30430007,1.659999966621399
2023/11/20 16:47:32,-7.63043767,110.30426409,2.990000009536743
2023/11/20 16:47:33,-7.63041116,110.30424903,3.5399999618530273
2023/11/20 16:47:34,-7.63038544,110.30422163,4.019999980926514
2023/11/20 16:47:35,-7.63036184,110.30417402,4.53000020980835
2023/11/20 16:47:36,-7.63032463,110.30413665,5.739999771118164
2023/11/20 16:47:37,-7.63027105,110.30408521,6.239999771118164
2023/11/20 16:47:38,-7.63023249,110.30403593,6.769999980926514
2023/11/20 16:47:39,-7.63018795,110.30397682,7.539999961853027
2023/11/20 16:47:40,-7.63012475,110.30392741,7.340000152587891
2023/11/20 16:47:41,-7.63009153,110.30388075,6.800000190734863
2023/11/20 16:47:42,-7.63006249,110.30383538,6.309999942779541
2023/11/20 16:47:43,-7.63003336,110.3037982,5.170000076293945
2023/11/20 16:47:44,-7.63001217,110.3037779,3.2200000286102295
2023/11/20 16:47:45,-7.62999366,110.30376106,2.9700000286102295
2023/11/20 16:47:46,-7.62996964,110.30375913,2.2799999713897705
2023/11/20 16:47:47,-7.62995447,110.30373762,2.930000066757202
2023/11/20 16:47:48,-7.6299302,110.30370779,4.050000190734863
2023/11/20 16:47:49,-7.62989521,110.30367503,5.010000228881836
2023/11/20 16:47:50,-7.62986358,110.30363167,5.300000190734863
2023/11/20 16:47:51,-7.62983258,110.30360837,5.260000228881836
2023/11/20 16:47:52,-7.62978601,110.30357299,5.710000038146973
2023/11/20 16:47:53,-7.62973035,110.30352017,7.099999904632568
2023/11/20 16:47:54,-7.62967387,110.30346814,7.190000057220459
2023/11/20 16:47:55,-7.62962473,110.30341324,7.369999885559082
2023/11/20 16:47:56,-7.62959286,110.30334537,7.699999809265137
2023/11/20 16:47:57,-7.62957586,110.3032662,8.15999984741211
2023/11/20 16:47:58,-7.6295564,110.30321701,6.980000019073486
2023/11/20 16:47:59,-7.62953961,110.3031554,6.929999828338623
2023/11/20 16:48:00,-7.62952576,110.30309366,6.230000019073486
2023/11/20 16:48:01,-7.62950759,110.30302875,6.320000171661377
2023/11/20 16:48:02,-7.62949136,110.30298218,6.010000228881836
2023/11/20 16:48:03,-7.62948731,110.30294195,4.909999847412109
2023/11/20 16:48:04,-7.62947991,110.30290426,4.170000076293945
